[2024-12-05T20:40:37.081+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:40:37.093+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.099+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.100+0000] {taskinstance.py:2866} INFO - Starting attempt 3 of 3
[2024-12-05T20:40:37.111+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-01-02 06:00:00+00:00
[2024-12-05T20:40:37.117+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=807) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:40:37.118+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-01-02T06:00:00+00:00', '--job-id', '39', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmp0x3xtftx']
[2024-12-05T20:40:37.119+0000] {standard_task_runner.py:72} INFO - Started process 821 to run task
[2024-12-05T20:40:37.119+0000] {standard_task_runner.py:105} INFO - Job 39: Subtask wget
[2024-12-05T20:40:37.150+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:40:37.675+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 17% 32.1M 2s
[2024-12-05T20:40:37.682+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 18% 5.36M 2s
[2024-12-05T20:40:37.685+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 18% 17.3M 2s
[2024-12-05T20:40:37.685+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 18%  141M 2s
[2024-12-05T20:40:37.685+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 18%  160M 2s
[2024-12-05T20:40:37.705+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 19% 2.66M 2s
[2024-12-05T20:40:37.725+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 19% 2.28M 2s
[2024-12-05T20:40:37.725+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 19% 81.2M 2s
[2024-12-05T20:40:37.726+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 19%  106M 2s
[2024-12-05T20:40:37.727+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 20% 60.8M 2s
[2024-12-05T20:40:37.727+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 20% 86.8M 2s
[2024-12-05T20:40:37.728+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 20%  172M 2s
[2024-12-05T20:40:37.736+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 20% 5.79M 2s
