[2024-12-05T20:39:30.675+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 29% 28.8M 3s
[2024-12-05T20:39:30.675+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 29% 51.5M 3s
[2024-12-05T20:39:30.676+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 29%  217M 3s
[2024-12-05T20:39:30.676+0000] {subprocess.py:106} INFO -   6300K .......... .......... .......... .......... .......... 29% 27.7M 3s
[2024-12-05T20:39:30.677+0000] {subprocess.py:106} INFO -   6350K .......... .......... .......... .......... .......... 30%  285M 3s
[2024-12-05T20:39:30.677+0000] {subprocess.py:106} INFO -   6400K .......... .......... .......... .......... .......... 30%  107M 3s
[2024-12-05T20:39:30.677+0000] {subprocess.py:106} INFO -   6450K .......... .......... .......... .......... .......... 30% 13.5M 3s
[2024-12-05T20:39:30.678+0000] {subprocess.py:106} INFO -   6500K .......... .......... .......... .......... .......... 30% 74.7M 3s
[2024-12-05T20:39:30.678+0000] {subprocess.py:106} INFO -   6550K .......... .......... .......... .......... .......... 31%  103M 3s
[2024-12-05T20:39:30.679+0000] {subprocess.py:106} INFO -   6600K .......... .......... .......... .......... .......... 31% 40.9M 2s
[2024-12-05T20:39:30.679+0000] {subprocess.py:106} INFO -   6650K .......... .......... .......... .......... .......... 31%  254M 2s
[2024-12-05T20:39:30.679+0000] {subprocess.py:106} INFO -   6700K .......... .......... .......... .......... .......... 31%  343M 2s
[2024-12-05T20:39:30.679+0000] {subprocess.py:106} INFO -   6750K .......... .......... .......... .......... .......... 32% 21.6M 2s
[2024-12-05T20:39:30.679+0000] {subprocess.py:106} INFO -   6800K .......... .......... .......... .......... .......... 32%  272M 2s
[2024-12-05T20:39:30.679+0000] {subprocess.py:106} INFO -   6850K .......... .......... .......... .......... .......... 32%  209M 2s
[2024-12-05T20:39:30.680+0000] {subprocess.py:106} INFO -   6900K .......... .......... .......... .......... .......... 32% 8.40M 2s
[2024-12-05T20:39:30.680+0000] {subprocess.py:106} INFO -   6950K .......... .......... .......... .......... .......... 33% 33.5M 2s
[2024-12-05T20:39:30.680+0000] {subprocess.py:106} INFO -   7000K .......... .......... .......... .......... .......... 33%  135M 2s
[2024-12-05T20:39:30.680+0000] {subprocess.py:106} INFO -   7050K .......... .......... .......... .......... .......... 33% 15.8M 2s
[2024-12-05T20:39:30.680+0000] {subprocess.py:106} INFO -   7100K .......... .......... .......... .......... .......... 33%  178M 2s
[2024-12-05T20:39:30.680+0000] {subprocess.py:106} INFO -   7150K .......... .......... .......... .......... .......... 33%  270M 2s
[2024-12-05T20:39:30.708+0000] {subprocess.py:106} INFO -   7200K .......... .......... .......... .......... .......... 34% 1.47M 2s
[2024-12-05T20:39:30.711+0000] {subprocess.py:106} INFO -   7250K .......... .......... .......... .......... .......... 34% 4.04M 2s
[2024-12-05T20:39:30.726+0000] {subprocess.py:106} INFO -   7300K .......... .......... .......... .......... .......... 34% 3.56M 2s
[2024-12-05T20:39:30.732+0000] {subprocess.py:106} INFO -   7350K .......... .......... .......... .......... .......... 34% 8.58M 2s
[2024-12-05T20:39:30.745+0000] {subprocess.py:106} INFO -   7400K .......... .......... .......... .......... .......... 35% 75.0M 2s
[2024-12-05T20:39:30.769+0000] {subprocess.py:106} INFO -   7450K .......... .......... .......... .......... .......... 35% 1.30M 2s
[2024-12-05T20:39:30.835+0000] {subprocess.py:106} INFO -   7500K .......... .......... .......... .......... .......... 35%  753K 2s
[2024-12-05T20:39:30.940+0000] {subprocess.py:106} INFO -   7550K .......... .......... .......... .......... .......... 35%  502K 3s
[2024-12-05T20:39:30.959+0000] {subprocess.py:106} INFO -   7600K .......... .......... .......... .......... .......... 36% 2.35M 3s
[2024-12-05T20:39:30.966+0000] {subprocess.py:106} INFO -   7650K .......... .......... .......... .......... .......... 36% 75.6M 3s
[2024-12-05T20:39:30.972+0000] {subprocess.py:106} INFO -   7700K .......... .......... .......... .......... .......... 36%  124M 3s
[2024-12-05T20:39:30.973+0000] {subprocess.py:106} INFO -   7750K .......... .......... .......... .......... .......... 36%  158M 2s
[2024-12-05T20:39:30.974+0000] {subprocess.py:106} INFO -   7800K .......... .......... .......... .......... .......... 37% 34.3M 2s
[2024-12-05T20:39:30.977+0000] {subprocess.py:106} INFO -   7850K .......... .......... .......... .......... .......... 37%  181M 2s
[2024-12-05T20:39:30.978+0000] {subprocess.py:106} INFO -   7900K .......... .......... .......... .......... .......... 37% 75.9M 2s
[2024-12-05T20:39:30.982+0000] {subprocess.py:106} INFO -   7950K .......... .......... .......... .......... .......... 37%  165M 2s
[2024-12-05T20:39:30.983+0000] {subprocess.py:106} INFO -   8000K .......... .......... .......... .......... .......... 38%  198M 2s
[2024-12-05T20:39:30.983+0000] {subprocess.py:106} INFO -   8050K .......... .......... .......... .......... .......... 38% 13.8M 2s
[2024-12-05T20:39:30.984+0000] {subprocess.py:106} INFO -   8100K .......... .......... .......... .......... .......... 38% 17.5M 2s
[2024-12-05T20:39:30.984+0000] {subprocess.py:106} INFO -   8150K .......... .......... .......... .......... .......... 38% 18.7M 2s
[2024-12-05T20:39:30.984+0000] {subprocess.py:106} INFO -   8200K .......... .......... .......... .......... .......... 38% 47.7M 2s
[2024-12-05T20:39:30.985+0000] {subprocess.py:106} INFO -   8250K .......... .......... .......... .......... .......... 39% 64.8M 2s
[2024-12-05T20:39:30.985+0000] {subprocess.py:106} INFO -   8300K .......... .......... .......... .......... .......... 39% 23.8M 2s
[2024-12-05T20:39:30.985+0000] {subprocess.py:106} INFO -   8350K .......... .......... .......... .......... .......... 39%  228M 2s
