[2024-12-05T20:40:37.058+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:40:37.074+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.079+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.080+0000] {taskinstance.py:2866} INFO - Starting attempt 3 of 3
[2024-12-05T20:40:37.091+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-03-02 06:00:00+00:00
[2024-12-05T20:40:37.095+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=811) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:40:37.097+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-03-02T06:00:00+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpq_hqpw5d']
[2024-12-05T20:40:37.098+0000] {standard_task_runner.py:105} INFO - Job 32: Subtask wget
[2024-12-05T20:40:37.098+0000] {standard_task_runner.py:72} INFO - Started process 814 to run task
[2024-12-05T20:40:37.136+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:40:37.570+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 17%  152M 1s
[2024-12-05T20:40:37.571+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 17% 79.0M 1s
[2024-12-05T20:40:37.571+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 18%  109M 1s
[2024-12-05T20:40:37.572+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 18% 19.0M 1s
[2024-12-05T20:40:37.572+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 18%  113M 1s
[2024-12-05T20:40:37.617+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 18% 1.10M 1s
[2024-12-05T20:40:37.617+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 18%  185M 1s
[2024-12-05T20:40:37.618+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 18%  169M 1s
[2024-12-05T20:40:37.618+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 19%  123M 1s
[2024-12-05T20:40:37.619+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 19%  154M 1s
[2024-12-05T20:40:37.619+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 19%  149M 1s
[2024-12-05T20:40:37.620+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 19%  167M 1s
[2024-12-05T20:40:37.620+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 19%  129M 1s
[2024-12-05T20:40:37.624+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 19%  181M 1s
[2024-12-05T20:40:37.625+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 20%  153M 1s
[2024-12-05T20:40:37.628+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 20%  127M 1s
[2024-12-05T20:40:37.629+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 20% 92.1M 1s
[2024-12-05T20:40:37.630+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 20%  181M 1s
[2024-12-05T20:40:37.630+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 20%  251M 1s
[2024-12-05T20:40:37.631+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 20%  230M 1s
[2024-12-05T20:40:37.631+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 21%  251M 1s
[2024-12-05T20:40:37.632+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 21%  175M 1s
[2024-12-05T20:40:37.632+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 21%  271M 1s
[2024-12-05T20:40:37.633+0000] {subprocess.py:106} INFO -   6300K .......... .......... .......... .......... .......... 21% 85.2M 1s
[2024-12-05T20:40:37.633+0000] {subprocess.py:106} INFO -   6350K .......... .......... .......... .......... .......... 21% 52.6M 1s
[2024-12-05T20:40:37.635+0000] {subprocess.py:106} INFO -   6400K .......... .......... .......... .......... .......... 22% 49.6M 1s
[2024-12-05T20:40:37.636+0000] {subprocess.py:106} INFO -   6450K .......... .......... .......... .......... .......... 22%  174M 1s
[2024-12-05T20:40:37.641+0000] {subprocess.py:106} INFO -   6500K .......... .......... .......... .......... .......... 22% 3.06M 1s
[2024-12-05T20:40:37.642+0000] {subprocess.py:106} INFO -   6550K .......... .......... .......... .......... .......... 22% 45.1M 1s
[2024-12-05T20:40:37.643+0000] {subprocess.py:106} INFO -   6600K .......... .......... .......... .......... .......... 22% 36.9M 1s
[2024-12-05T20:40:37.644+0000] {subprocess.py:106} INFO -   6650K .......... .......... .......... .......... .......... 22% 96.2M 1s
[2024-12-05T20:40:37.645+0000] {subprocess.py:106} INFO -   6700K .......... .......... .......... .......... .......... 23% 32.1M 1s
[2024-12-05T20:40:37.646+0000] {subprocess.py:106} INFO -   6750K .......... .......... .......... .......... .......... 23% 61.8M 1s
[2024-12-05T20:40:37.648+0000] {subprocess.py:106} INFO -   6800K .......... .......... .......... .......... .......... 23%  222M 1s
[2024-12-05T20:40:37.649+0000] {subprocess.py:106} INFO -   6850K .......... .......... .......... .......... .......... 23%  134M 1s
