[2024-12-05T19:54:08.167+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T19:54:08.176+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget manual__2024-12-05T19:54:05.651228+00:00 [queued]>
[2024-12-05T19:54:08.181+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget manual__2024-12-05T19:54:05.651228+00:00 [queued]>
[2024-12-05T19:54:08.181+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-05T19:54:08.189+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2024-12-05 19:54:05.651228+00:00
[2024-12-05T19:54:08.192+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=69) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T19:54:08.193+0000] {standard_task_runner.py:72} INFO - Started process 70 to run task
[2024-12-05T19:54:08.195+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'manual__2024-12-05T19:54:05.651228+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmppidfg0ej']
[2024-12-05T19:54:08.196+0000] {standard_task_runner.py:105} INFO - Job 3: Subtask wget
[2024-12-05T19:54:08.221+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget manual__2024-12-05T19:54:05.651228+00:00 [running]> on host cf87bc668ac5
[2024-12-05T19:54:08.683+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 15%  188M 1s
[2024-12-05T19:54:08.683+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 16%  241M 1s
[2024-12-05T19:54:08.683+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 16% 54.2M 1s
[2024-12-05T19:54:08.683+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... .......... 16%  298M 1s
[2024-12-05T19:54:08.685+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... .......... 16% 18.0M 1s
[2024-12-05T19:54:08.686+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... .......... 16%  300M 1s
[2024-12-05T19:54:08.686+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... .......... 17% 87.8M 1s
[2024-12-05T19:54:08.686+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... .......... 17%  259M 1s
[2024-12-05T19:54:08.687+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... .......... 17%  291M 1s
[2024-12-05T19:54:08.699+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 17% 4.07M 1s
[2024-12-05T19:54:08.702+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 18% 34.0M 1s
[2024-12-05T19:54:08.703+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 18%  140M 1s
[2024-12-05T19:54:08.704+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 18% 52.2M 1s
[2024-12-05T19:54:08.706+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 18% 32.9M 1s
[2024-12-05T19:54:08.707+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 19% 44.8M 1s
[2024-12-05T19:54:08.712+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 19%  190M 1s
[2024-12-05T19:54:08.712+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 19% 29.5M 1s
[2024-12-05T19:54:08.712+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 19%  219M 1s
[2024-12-05T19:54:08.713+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 20%  154M 1s
[2024-12-05T19:54:08.717+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 20%  158M 1s
[2024-12-05T19:54:08.717+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 20%  174M 1s
[2024-12-05T19:54:08.718+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 20%  179M 1s
